title,views,bullet_comment,fans,score,tags,seiyuu,av_num
哆啦A梦 第三季,8.2万,1617,100.3万,9.8,"['漫画改', '搞笑', '日常', '少儿']",哆啦A梦：陈美贞<br/>野比大雄：刘如蘋、刘凯宁、林筱玲<br/>源静香：林美秀<br/>刚田武：宋克军、梁兴昌<br/>骨川小夫：李世扬,av93193018
哆啦A梦 第二季,6.2万,564,100.3万,9.8,"['漫画改', '搞笑', '日常', '少儿']",哆啦A梦：陈美贞<br/>野比大雄：刘如蘋、刘凯宁、林筱玲<br/>源静香：林美秀<br/>刚田武：宋克军、梁兴昌<br/>骨川小夫：李世扬,av93133952
哆啦A梦 第一季,28.7万,7176,100.3万,9.8,"['漫画改', '日常', '少儿', '搞笑']",哆啦A梦：陈美贞<br/>野比大雄：刘如蘋、刘凯宁、林筱玲<br/>源静香：林美秀<br/>刚田武：宋克军、梁兴昌<br/>骨川小夫：李世扬,av93097336
剑姬神圣谭  在地下城寻求邂逅是否搞错了什么 外传 ,100.1万,2.9万,176.9万,9.8,"['小说改', '奇幻', '架空', '神魔']",艾丝·华伦斯坦：大西沙织<br/>蕾菲亚·维里迪斯：木村珠莉<br/>蒂奥娜·席吕特：村川梨衣<br/>蒂奥涅·席吕特：高桥未奈美<br/>洛基：久保由利香<br/>芬恩·蒂姆那：田村睦心<br/>里维莉雅·利欧斯·阿尔弗：川澄绫子<br/>格瑞斯·蓝德罗克：乃村健次<br/>伯特·罗卡：冈本信彦<br/>贝尔·克朗尼：松冈祯丞<br/>赫斯缇雅：水濑祈,av89918255
新机动战记高达W剧场版 无尽的华尔兹,20.5万,3734,8.4万,9.8,"['原创', '科幻', '机战', '架空']",希罗·唯：绿川光<br/>迪奥·麦克斯维尔：关俊彦<br/>卡特尔·温拿：折笠爱<br/>特洛瓦·巴顿：中原茂<br/>莉莉娜·多利安：矢岛晶子,av84448653
网球王子 BEST GAMES!!「不二VS切原」,6.1万,2187,48.9万,Null ,"['漫画改', '热血', '奇幻', '社团']",大石秀一郎：近藤孝行<br/>菊丸英二：高橋広樹<br/>乾贞治：津田健次郎<br/>海堂薰：喜安浩平<br/>仁王雅治：增田裕生<br/>柳生比吕士：津田英佑<br/>宍户亮：楠田敏之<br/>凤长太郎：浪川大辅,av84376406
ENDRO~!,29.6万,1.6万,5.8万,9.8,"['原创', '奇幻', '萌系', '搞笑']",尤夏（尤莉娅·夏尔戴特）：赤尾光<br/>塞拉（艾蕾诺瓦尔·塞兰）：夏川椎菜<br/>法伊（法伊·法伊）：小泽亚李<br/>梅（梅瑟·恩达斯特）：水濑祈<br/>萝娜公主（萝娜·普莉茜帕·欧·拉帕内斯塔）：麻仓桃<br/>玛欧：久野美咲,av83852472
伪恋,309.8万,25.9万,129.5万,9.6,"['漫画改', '搞笑', '日常', '校园']",一条乐：内山昂辉<br/>桐崎千棘：东山奈央<br/>小野寺小咲：花泽香菜<br/>鸫诚士郎：小松未可子<br/>橘万里花：阿澄佳奈<br/>宫本琉璃：内山夕实<br/>舞子集： 梶裕贵<br/>克劳德：子安武人<br/>乐的父亲：绪方贤一<br/>阿德鲁托·桐崎·沃格那：江原正士<br/>龙：桧山修之,av49803095
哨声响起,3.8万,1089,1327,Null ,"['漫画改', '校园', '运动', '社团']",风祭将∶小向美奈子<br/>水野龙也∶前田刚<br/>佐藤成树∶木内秀信<br/>不破大地∶喜安浩平<br/>风祭功∶高桥広树<br/>松下左右十∶楠大典<br/>小岛由希∶铃木真仁<br/>樱井美雪∶长谷川静香<br/>香取夕子∶原元美纪<br/>高井真人∶长濑博高<br/>野吕浩美∶又村奈绪美<br/>山口杉太∶石桥美佳<br/>渋沢克朗∶内藤玲<br/>藤代诚二∶近藤孝行<br/>天野圣夜∶石川正明<br/>天城燎一∶石川正明<br/>椎名翼∶樋口智子<br/>杉原多纪∶并木のり子<br/>井上直树∶石冢坚<br/>小岩铁平∶金子幸伸,av81918818
来自商人之星的小比索,1.0万,58,522,Null ,"['原创', '少儿', '泡面']",比索: 原涼子<br/>卢布: 江口拓也<br/>马克: 桜井敏治,av81932506
